"Date et heure","Date et heure(RAW)","Somme","Somme(RAW)","Octets libres C:","Octets libres C:(RAW)","Espace disponible C:","Espace disponible C:(RAW)","Octets libres D:","Octets libres D:(RAW)","Espace disponible D:","Espace disponible D:(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"17/01/2024 16:00:00 - 17:00:00","45308.6666666667","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 17:00:00 - 18:00:00","45308.7083333333","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 18:00:00 - 19:00:00","45308.7500000000","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 19:00:00 - 20:00:00","45308.7916666667","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 20:00:00 - 21:00:00","45308.8333333333","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 21:00:00 - 22:00:00","45308.8750000000","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 22:00:00 - 23:00:00","45308.9166666667","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 23:00:00 - 00:00:00","45308.9583333333","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 00:00:00 - 01:00:00","45309.0000000000","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 01:00:00 - 02:00:00","45309.0416666667","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 02:00:00 - 03:00:00","45309.0833333333","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 03:00:00 - 04:00:00","45309.1250000000","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 04:00:00 - 05:00:00","45309.1666666667","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 05:00:00 - 06:00:00","45309.2083333333","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 06:00:00 - 07:00:00","45309.2500000000","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 07:00:00 - 08:00:00","45309.2916666667","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 08:00:00 - 09:00:00","45309.3333333333","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 09:00:00 - 10:00:00","45309.3750000000","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 10:00:00 - 11:00:00","45309.4166666667","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 11:00:00 - 12:00:00","45309.4583333333","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 12:00:00 - 13:00:00","45309.5000000000","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 13:00:00 - 14:00:00","45309.5416666667","","","","","","","","","","","","","0 %","0000000000"
